author_id,rating,submission_time,review_text,product_id
12151235224,5,2020-04-15,I absolutely love this night mask! Have tried a lot of different creams and this one goes on so smooth and has the most glorious scent! Its fresh and deep moisturizing. I honestly look forward to putting it on every night.,P427397
5162095428,5,2017-07-20,"The smell, the texture! I love everything about this cleanser! It take of my makeup so well and leave my face feeling so nourished!",P456412
5522193337,5,2014-01-06,"Originally I went into Sephora to get the Take the Day Off Cleansing Oil, but my store didn’t have it so I left with this instead. I’m so happy I did! This stuff is amazing. It feels great on the skin, and doesn’t dry me out at all (which is a huge plus in the wintertime). It gets rid of all of my makeup, including whatever eye makeup I wasn’t able to get rid of with my eye makeup remover (currently Philosophy’s). I’m going to continue to buy this for as long as I can. For anyone wondering, I do follow it up with an actual cleanser because I am prone to breakouts. This method works wonders for me. If you’re on the fence about this product and you have acne prone, dehydrated skin, go for it! It’s my favorite way to remove makeup.",P126301
36515450227,5,2023-02-15,"i’ve tried multiple, and this one is my favorite so far. i’ve been buying this for a year now. lasts me forever, one small amount goes a long way. takes 99% of my make up off!",P417238
8139884069,5,2022-04-26,"I am so happy to have found this product! I have struggled with acne, all my life, and nothing worked for me... I even broke down and put the dent in my wallet to buy proactiv just because I was so desperate for something to work. I found this product, after hearing about this brand by someone I watch on youtube, and I was amazed with how cheap it was... then I stayed to use it and I fell in love and almost cried when I saw the difference it started to make. This cleanser and the omega water cream lotion (from the same brand) is absolutely amazing together.",P443833
10470987299,5,2017-09-10,"it has a great natural citrus smell that is not over powering. it works great at exfoliating dead skin, left over make, & oil. also minimizes forehead & nose pores!",P386197
28055175704,3,2020-12-09,"Wonderful exfoliant! I have super sensitive and sensitized skin, so this is almost as rough as I can handle of an exfoliant on my cheeks and forehead. I use this once a week, and my hand or the pre-cleanse balm mitt for the rest of the week. The only down-side is that it seems to lose it’s grit rather easily once water is applied, and that might take a bit to get used to for someone used to more mechanical exfoliants. The smell and texture is great, and though I only bought the Mini bottle, it’s still lasted longer than a month so far and it’s not even close to empty~!!",P423688
1577347171,4,2020-04-24,"It smells like used old  frying oil (so there goes the star) but other than that very good makeup remover, I prefer oil based markup removers this isn’t thick or heavy when you apply it to you face!! Side note to Clinique PLEASE DO SOMETHING ABOUT THE SMELL",P126301
2477693687,5,2012-10-03,"I love this cream! It smells amazing, but the scent isn’t at all overwhelming! I have sensitive skin, and it didn’t bother me at all. You don’t have to use much either, so it’ll last a long time. It is definitely worth it. I just started using it, so I don’t know what it does long term, but it made my skin look and feel really nice after just one use! I will buy this again when I run out.",P434360
9300165991,5,2021-07-30,I am loving the Clarins Double Serum! It leaves my skin feeling glowy and hydrated! I would definitely recommend giving this product a try!,P421235
6868243823,5,2023-03-05,This sunscreen is so perfect under makeup. It adds the perfect glow that’s subtle and doesn’t make me look oily. It is so lightweight and does not leave a white cast. I have even worn it on it’s own and it makes my skin look so healthy,P456218
2464074537,2,2020-11-12,I have dry skin and I find this product does not provide enough moisture for my skin- almost makes my face feel tight after using it. I did notice my pores were smaller though. Would not recommend if you have dry skin!,P454794
1775393323,5,2015-05-14,"I love this moisturizer. It’s silky smooth and feels refreshing on the skin. I have dry and sensitive skin. This moisturizer is lightweight, doesn’t feel greasy yet delivers all the needed hydration to the skin.",P394639
7193964549,4,2020-08-03,"I received this product for free from Influenster for testing and review purposes. It smells amazing and worked really well, even just in the past few days of use!",P460516
12254549564,5,2021-02-13,I love this. It feels so good on my skin plus it’s cheap.,P427419
1549708253,5,2009-04-16,This stuff works in terms of hydration and is not oily. Would not use on oily skin. If you travel a lot like me it’s a great post flight pick me up. It also works wonders (don’t know why or how) to get rid of puffiness. Had a wedding after an 18hr of flying. Arrived at night and work up with my eyes swollen shut the day of the wedding put the mask on for 45 min I was good to go.,P12336
11391470628,3,2019-06-11,This mask is great if you have a special event but it is not a long term product. It will temporarily clear my pores but then they just go back to normal a few hours later.,P297524
11111128334,5,2019-08-06,In love with this facial mask!❤️ My pores have never been so small along with my skin looking so bright! Ive even gotten compliments on my skin recently after using this mask. I’ve used masks before but none like this. I received this product complimentary for testing purposes.,P448207
2727933024,5,2021-12-28,"I fell in love with this cream the first time I used it. The pearlescent color of it and the light fragrance of it was a good first impression followed by the creamiest consistency when putting it on. Most of my moisturizer creams are of a watery, thin nature but this goes on so well and holds it “moisturized” feel for hours. It made my skin feel so soft and plump, I even used it on my neck. I feel, after using it twice a day for a week now, that it has dramatically reduced my fine lines and wrinkles on my face.",P481084
6253819937,4,2019-01-30,"This slightly irritates my sensitive skin, but it’s very light and works very well under makeup!",P454794
8069934257,2,2021-10-03,"So I bought this because of all the hype and because I wanted to add something to my skin care ritual at night for my lips. I figured im taking care of every other part so I deff need to include my lips. I have received a a sample of the berry flavor and bought the gummy bear during a sale. So I do like this product don’t get me wrong but its not worth he money. I have used this not only when I got to bed but in the AM and sometimes even during the day. I notice nothing other then my lips aren’t chapped. And while thats great I can get the same effect with Burts Bees or some other chapstick brand. This almost reminds me lipsmackers but for adults and extra hype. I feel like your lips must be sandpaper , desert dry and cracked for anyone to notice a healing or moistening benefit. I would only get another product of this brand if it was a sample or gifted to me. Not worth it , I am sorry.",P420652
33128379622,5,2022-02-03,This is great for acne prone skin where skin texture becomes uneven and if you have larger pore. I use in combination with an oil-based rose serum for day use and my skin maintains a neutral oil content all day. This serum is especially great owing to how light it is and how smooth it goes on.,P447592
10325927535,5,2017-07-24,Best scrub in history I literally threw every other scrub I owned just for this I’m in love I received this product free for testing.,P386197
2153771949,5,2018-05-04,"I am all about lightweight and hardworking moisturizers. While I haven’t tried too many gel creams, this one is more like a moisturizer that seems to pack a bigger punch. It’s got a refreshing scent and doesn’t bother my sensitive skin. Not sure how much “brightening” it’s helped with but overall very good daily product",P430337
23126813917,3,2019-12-08,I love the smell and the way it feels on my skin but this cleanser is so drying. If you have really dry skin and live in places below -20 this probably isn’t the best cleanser. I really wanted to love this product since I spent so much on it but I ended up spending more on a hydrating moisturizer.,P504615
8770458469,3,2022-11-24,I bought this cleansing balm to see if it would be a good dupe for the Clinique take the day off balm. It did a nice job removing makeup but felt goopy and didn’t dissolve well. The style of product delivery via tube is wasteful. I thought I finished it but cut it open and there was tons of product left. The biggest plus was that it’s gentle and didn’t make my face feel dry after. If you don’t want to spend tons of money this is a good option but it definitely does not match Clinique’s cleansing balm.,P455364
22794131116,5,2019-08-15,"I love everything about this product. It softens my lips, smells deliciously, and isn’t sticky at all. I’d purchase again if I’m out of this one.",P421243
7642652606,5,2017-10-16,I’ve tried everything to make my face redness less noticeable but this product is the only one that does the trick!! It feels so smooth and natural and the spf is a huge bonus!! It corrects my extreme redness in seconds!! I strongly recommend to give it a try!!,P471546
1797554577,5,2015-10-16,These wipes are awesome. In my early 20’s I was only using philosophy’s microdermabrasion daily wash and have recently decided I needed something a little bit stronger going forward.I bought these wipes and noticed a difference within three days. I was apprehensive to buy because of the price but they really work!! They got rid of these silly tiny bumps on my chin that have been pretty much permanent since I was very young! I am impressed with how smooth my skin is and I will continue to buy.,P269122
1599917009,5,2019-07-16,"YYYYYAAAAASSSSSS. That really sums this up. And I am SO picky about lip gloss. Smooth, tastes amazing and wears off evenly and nicely.",P443563
